STATE,ALLIANCE (VOTES),SF (VOTES),PMIP (VOTES),PPP (VOTES),NEGARA (VOTES),M.P. (VOTES),INDEPENDENTS (VOTES),TOTAL VOTES CAST,TOTAL NUMBER OF BALLOT PAPER CAST,REJECTED BALLOT PAPERS,TOTAL ELECTORATE FOR CONTESTED WARDS,TURNOUT (%),ALLIANCE (SEATS),SF (SEATS),PMIP (SEATS),PPP (SEATS),NEGARA (SEATS),M.P. (SEATS),INDEPENDENTS (SEATS),ALLIANCE (LOST DEPOSITS),SF (LOST DEPOSITS),PMIP (LOST DEPOSITS),PPP (LOST DEPOSITS),NEGARA (LOST DEPOSITS),M.P. (LOST DEPOSITS),INDEPENDENTS (LOST DEPOSITS)
PERLIS,1126,,,,,,547,1695,1695,22,2016,84.1,12,,,,,,,,,,,,,
KEDAH,6018,3749,858,,,,1155,12012,12012,232,15319,78.4,33,7,,,,,1,,,,,,,
KELANTAN,24396,409,10464,,3458,,420,39429,16946,282,23624,71.3,51,,14,,1,,,,3,,,4,,
TRENGGANU,9002,1858,3655,,4140,,57,19080,19080,368,25817,73.9,32,2,1,,4,,,,5,9,,,,
PENANG,63948,65619,3067,1283,,,1046,137241,137241,2278,177688,77.2,52,20,,,,,,,,,,,,
PERAK,29649,614,,39432,,,1988,72959,70339,1276,95064,76,67,2,,22,,,2,,,,,,,
PAHANG,8376,7427,220,,,,715,17072,17072,334,21531,79.3,47,19,,,,,2,,,2,,,,
SELANGOR,7582,7072,,4997,,,,20015,20015,364,24398,82,6,2,,4,,,,,,,,,,
NEGRI SEMBILAN,5249,2397,,,,,8320,16178,15178,212,24126,78.2,12,2,,,,,10,,1,,,,,
MALACCA,42703,20976,5401,252,,5389,,76067,76067,1346,94217,80.7,53,8,2,,,2,,,1,,,,2,
JOHORE,20379,12955,255,750,1780,,4379,41136,41136,638,52872,77.8,62,16,,,,,9,,,,2,,,2
GRAND TOTAL,218428,123076,23920,46714,9378,5389,18627,452884,426781,7352,556672,76.8,426,78,17,26,5,2,24,0,10,11,2,4,2,2
